Interface                      IP-Address      Status                Protocol
Loopback0                      51.51.51.51     Up                    Up
MgmtEth0/RSP0/CPU0/0           1.20.30.40      Up                    Up
MgmtEth0/RSP0/CPU0/1           unassigned      Down                  Down
MgmtEth0/RSP1/CPU0/0           unassigned      Up                    Up
HundredGigE0/1/0/0             unassigned      Shutdown              Down
HundredGigE0/1/0/1             unassigned      Shutdown              Down
TenGigE0/2/0/0                 unassigned      Down                  Down
TenGigE0/2/0/1                 unassigned      Down                  Down
TenGigE0/2/0/2                 unassigned      Down                  Down
TenGigE0/2/0/4                 unassigned      Down                  Down
TenGigE0/2/0/5                 unassigned      Down                  Down
TenGigE0/2/0/6                 unassigned      Down                  Down
TenGigE0/2/0/7                 unassigned      Down                  Down
GigabitEthernet0/3/0/1         unassigned      Up                    Up
GigabitEthernet0/3/0/2         unassigned      Down                  Down
GigabitEthernet0/3/0/3         unassigned      Up                    Up
GigabitEthernet0/3/0/4         unassigned      Down                  Down
GigabitEthernet0/3/0/5         unassigned      Down                  Down
GigabitEthernet0/3/0/6         unassigned      Down                  Down
GigabitEthernet0/3/0/7         unassigned      Down                  Down
GigabitEthernet0/3/0/8         unassigned      Down                  Down
GigabitEthernet0/3/0/9         unassigned      Down                  Down
GigabitEthernet0/3/0/10        unassigned      Down                  Down
GigabitEthernet0/3/0/11        unassigned      Down                  Down
GigabitEthernet0/3/0/12        unassigned      Down                  Down
GigabitEthernet0/3/0/13        unassigned      Down                  Down
GigabitEthernet0/3/0/14        unassigned      Down                  Down
GigabitEthernet0/3/0/15        unassigned      Down                  Down
GigabitEthernet0/3/0/16        unassigned      Down                  Down
GigabitEthernet0/3/0/17        unassigned      Down                  Down
GigabitEthernet0/3/0/18        unassigned      Down                  Down
GigabitEthernet0/3/0/19        unassigned      Down                  Down
TenGigE0/3/1/0                 unassigned      Up                    Up
TenGigE0/3/1/1                 unassigned      Down                  Down
TenGigE0/3/1/2                 unassigned      Down                  Down
TenGigE0/3/1/3                 unassigned      Up                    Up
GigabitEthernet0/4/0/0         unassigned      Down                  Down
TenGigE0/4/0/0                 unassigned      Up                    Up
GigabitEthernet0/4/0/1         unassigned      Down                  Down
